imputed_ids	WGS_ids	F-score	concordance_P0	r2	precision	recall	TP	TN	FP	FN	TP_ratio	TN_ratio	FP_ratio	FN_ratio	RMSE
HG00151	HG00151	0.999	0.997	0.986	0.999	0.999	421531.0	378997.0	448.0	598.0	0.999	0.998	0.001	0.002	0.048
HG00154	HG00154	0.999	0.997	0.983	0.999	0.999	422550.0	377891.0	571.0	562.0	0.999	0.999	0.001	0.001	0.052
HG00155	HG00155	0.999	0.998	0.986	0.999	0.999	423486.0	377122.0	426.0	540.0	0.999	0.999	0.001	0.001	0.048
HG00157	HG00157	0.999	0.998	0.99	0.999	0.999	421446.0	379367.0	331.0	430.0	0.999	0.999	0.001	0.001	0.041
HG00158	HG00158	0.999	0.998	0.99	0.999	0.999	424039.0	376726.0	387.0	422.0	0.999	0.999	0.001	0.001	0.04
HG00159	HG00159	0.999	0.997	0.985	0.999	0.999	422399.0	378084.0	554.0	537.0	0.999	0.999	0.001	0.001	0.05
HG00160	HG00160	0.999	0.997	0.985	0.998	0.999	420751.0	379603.0	645.0	575.0	0.998	0.998	0.002	0.002	0.05
HG00171	HG00171	0.999	0.998	0.989	0.999	0.999	423657.0	377203.0	342.0	372.0	0.999	0.999	0.001	0.001	0.041
HG00173	HG00173	0.999	0.998	0.988	0.999	0.999	422891.0	377711.0	382.0	590.0	0.999	0.998	0.001	0.002	0.044
HG00174	HG00174	0.999	0.998	0.99	0.999	0.999	423355.0	377449.0	326.0	444.0	0.999	0.999	0.001	0.001	0.041
HG00176	HG00176	0.999	0.999	0.992	1.0	0.999	424231.0	376864.0	166.0	313.0	1.0	0.999	0.0	0.001	0.035
HG00177	HG00177	0.999	0.998	0.988	0.999	0.999	421527.0	379207.0	386.0	454.0	0.999	0.999	0.001	0.001	0.044
HG00178	HG00178	1.0	0.999	0.995	1.0	1.0	424739.0	376547.0	99.0	189.0	1.0	0.999	0.0	0.001	0.027
HG00179	HG00179	0.999	0.998	0.989	0.999	0.999	423255.0	377467.0	343.0	509.0	0.999	0.999	0.001	0.001	0.044
HG00180	HG00180	0.999	0.998	0.986	0.999	0.999	422587.0	378014.0	552.0	421.0	0.999	0.999	0.001	0.001	0.046
HG00181	HG00181	0.999	0.999	0.992	1.0	0.999	425652.0	375380.0	199.0	343.0	1.0	0.999	0.0	0.001	0.036
HG00182	HG00182	1.0	0.999	0.993	1.0	0.999	423740.0	377418.0	187.0	229.0	1.0	0.999	0.0	0.001	0.035
HG00183	HG00183	0.999	0.999	0.991	0.999	0.999	423369.0	377585.0	283.0	337.0	0.999	0.999	0.001	0.001	0.039
HG00185	HG00185	0.999	0.998	0.988	0.999	0.999	424359.0	376369.0	423.0	423.0	0.999	0.999	0.001	0.001	0.043
HG00186	HG00186	0.999	0.999	0.991	0.999	0.999	422950.0	378035.0	268.0	321.0	0.999	0.999	0.001	0.001	0.038
HG00187	HG00187	0.999	0.999	0.993	1.0	0.999	423673.0	377462.0	189.0	250.0	1.0	0.999	0.0	0.001	0.033
HG00188	HG00188	0.999	0.999	0.993	1.0	0.999	423234.0	377834.0	194.0	312.0	1.0	0.999	0.0	0.001	0.034
HG00189	HG00189	0.999	0.998	0.987	0.999	0.999	425201.0	375504.0	476.0	393.0	0.999	0.999	0.001	0.001	0.046
HG00190	HG00190	0.999	0.999	0.991	0.999	0.999	424468.0	376520.0	258.0	328.0	0.999	0.999	0.001	0.001	0.038
HG00231	HG00231	0.999	0.998	0.988	0.999	0.999	423833.0	376904.0	356.0	481.0	0.999	0.999	0.001	0.001	0.044
HG00232	HG00232	0.999	0.997	0.985	0.999	0.998	421180.0	379288.0	454.0	652.0	0.999	0.998	0.001	0.002	0.05
HG00233	HG00233	0.999	0.998	0.987	0.999	0.998	424510.0	376099.0	314.0	651.0	0.999	0.998	0.001	0.002	0.046
HG00234	HG00234	0.999	0.998	0.99	0.999	0.999	425618.0	375200.0	292.0	464.0	0.999	0.999	0.001	0.001	0.042
HG00235	HG00235	0.999	0.998	0.992	0.999	0.999	423687.0	377246.0	260.0	381.0	0.999	0.999	0.001	0.001	0.038
HG00236	HG00236	0.999	0.997	0.986	0.999	0.999	423473.0	377022.0	447.0	632.0	0.999	0.998	0.001	0.002	0.048
HG00237	HG00237	0.999	0.997	0.985	0.999	0.998	421872.0	378574.0	465.0	663.0	0.999	0.998	0.001	0.002	0.049
HG00238	HG00238	0.999	0.999	0.991	0.999	0.999	424094.0	376945.0	238.0	297.0	0.999	0.999	0.001	0.001	0.036
HG00239	HG00239	0.999	0.998	0.99	0.999	0.999	423199.0	377596.0	301.0	478.0	0.999	0.999	0.001	0.001	0.041
HG00240	HG00240	0.999	0.998	0.991	0.999	0.999	422993.0	377889.0	273.0	419.0	0.999	0.999	0.001	0.001	0.038
HG00242	HG00242	0.999	0.998	0.987	0.999	0.999	422869.0	377808.0	416.0	481.0	0.999	0.999	0.001	0.001	0.045
HG00243	HG00243	0.999	0.997	0.984	0.999	0.998	422566.0	377788.0	579.0	641.0	0.999	0.998	0.001	0.002	0.05
HG00244	HG00244	0.999	0.998	0.986	0.999	0.999	423333.0	377234.0	382.0	625.0	0.999	0.998	0.001	0.002	0.048
HG00245	HG00245	0.998	0.997	0.98	0.998	0.998	422942.0	377259.0	638.0	735.0	0.998	0.998	0.002	0.002	0.056
HG00246	HG00246	0.998	0.996	0.98	0.998	0.998	424047.0	376023.0	677.0	827.0	0.998	0.998	0.002	0.002	0.056
HG00250	HG00250	0.999	0.998	0.987	0.999	0.998	424328.0	376318.0	265.0	663.0	0.999	0.998	0.001	0.002	0.047
HG00251	HG00251	0.999	0.997	0.985	0.999	0.998	423218.0	377153.0	532.0	671.0	0.999	0.998	0.001	0.002	0.05
HG00252	HG00252	0.999	0.998	0.987	0.999	0.999	422160.0	378487.0	355.0	572.0	0.999	0.998	0.001	0.002	0.046
HG00253	HG00253	0.999	0.998	0.989	0.999	0.999	424335.0	376345.0	344.0	550.0	0.999	0.999	0.001	0.001	0.044
HG00254	HG00254	0.999	0.998	0.988	0.999	0.999	423592.0	377185.0	343.0	454.0	0.999	0.999	0.001	0.001	0.044
HG00255	HG00255	0.999	0.998	0.988	0.999	0.999	424690.0	375951.0	318.0	615.0	0.999	0.998	0.001	0.002	0.046
HG00256	HG00256	0.999	0.998	0.989	1.0	0.999	424433.0	376427.0	199.0	515.0	1.0	0.999	0.0	0.001	0.04
HG00257	HG00257	0.999	0.999	0.993	1.0	0.999	424760.0	376345.0	158.0	311.0	1.0	0.999	0.0	0.001	0.033
HG00258	HG00258	0.999	0.998	0.99	0.999	0.999	422034.0	378797.0	325.0	418.0	0.999	0.999	0.001	0.001	0.041
HG00259	HG00259	0.999	0.998	0.988	0.999	0.999	422456.0	378303.0	336.0	479.0	0.999	0.999	0.001	0.001	0.044
HG00260	HG00260	0.999	0.998	0.99	0.999	0.999	424392.0	376411.0	310.0	461.0	0.999	0.999	0.001	0.001	0.04
HG00261	HG00261	0.999	0.998	0.989	0.999	0.999	421427.0	379317.0	339.0	491.0	0.999	0.999	0.001	0.001	0.043
HG00262	HG00262	0.999	0.997	0.985	0.999	0.999	422601.0	377855.0	528.0	590.0	0.999	0.998	0.001	0.002	0.05
